Pais ,Liga ,Temporada ,Fecha,Hora,Local (A),Visitante (A),Goles Local,Goles Visit,Resultado
Mexico,Liga MX,2013/2014,20/07/2013,01:30,Queretaro,Monarcas,1,3,A
Mexico,Liga MX,2013/2014,20/07/2013,03:30,Club Tijuana,Atlas,3,3,D
Mexico,Liga MX,2013/2014,20/07/2013,23:00,Cruz Azul,Monterrey,1,0,H
Mexico,Liga MX,2013/2014,21/07/2013,01:00,Veracruz,Chiapas,2,2,D
Mexico,Liga MX,2013/2014,21/07/2013,02:06,Club Leon,Atlante,1,0,H
Mexico,Liga MX,2013/2014,21/07/2013,18:00,Puebla,U.N.A.M.- Pumas,1,1,D
Mexico,Liga MX,2013/2014,21/07/2013,18:00,Toluca,Pachuca,0,1,A
Mexico,Liga MX,2013/2014,27/07/2013,01:30,Monarcas,Toluca,3,4,A
Mexico,Liga MX,2013/2014,27/07/2013,03:30,Santos Laguna,Cruz Azul,3,2,H
Mexico,Liga MX,2013/2014,28/07/2013,01:00,Atlante,Veracruz,2,4,A
Mexico,Liga MX,2013/2014,28/07/2013,01:00,Monterrey,Puebla,1,1,D
Mexico,Liga MX,2013/2014,28/07/2013,01:00,Pachuca,U.A.N.L.- Tigres,2,1,H
Mexico,Liga MX,2013/2014,28/07/2013,03:00,Atlas,Club Leon,1,2,A
Mexico,Liga MX,2013/2014,28/07/2013,03:00,Chiapas,Guadalajara Chivas,1,1,D
Mexico,Liga MX,2013/2014,28/07/2013,18:00,U.N.A.M.- Pumas,Queretaro,0,3,A
Mexico,Liga MX,2013/2014,31/07/2013,01:00,Cruz Azul,Chiapas,1,1,D
Mexico,Liga MX,2013/2014,31/07/2013,02:00,Atlante,Atlas,1,1,D
Mexico,Liga MX,2013/2014,31/07/2013,03:30,Club Tijuana,Pachuca,1,0,H
Mexico,Liga MX,2013/2014,01/08/2013,00:00,Guadalajara Chivas,Veracruz,0,2,A
Mexico,Liga MX,2013/2014,01/08/2013,02:00,Puebla,Santos Laguna,1,1,D
Mexico,Liga MX,2013/2014,01/08/2013,02:00,Queretaro,Monterrey,3,3,D
Mexico,Liga MX,2013/2014,01/08/2013,02:00,Toluca,U.N.A.M.- Pumas,0,0,D
Mexico,Liga MX,2013/2014,01/08/2013,02:45,U.A.N.L.- Tigres,Monarcas,1,2,A
Mexico,Liga MX,2013/2014,01/08/2013,03:00,Club Leon,Club America,1,1,D
Mexico,Liga MX,2013/2014,03/08/2013,23:00,Club America,Atlas,3,0,H
Mexico,Liga MX,2013/2014,03/08/2013,23:00,Veracruz,Cruz Azul,3,2,H
Mexico,Liga MX,2013/2014,04/08/2013,01:00,Monarcas,Club Tijuana,2,1,H
Mexico,Liga MX,2013/2014,04/08/2013,01:00,Monterrey,Toluca,1,1,D
Mexico,Liga MX,2013/2014,04/08/2013,01:00,Pachuca,Club Leon,1,1,D
Mexico,Liga MX,2013/2014,04/08/2013,01:00,Santos Laguna,Queretaro,2,0,H
Mexico,Liga MX,2013/2014,04/08/2013,03:00,Chiapas,Puebla,4,2,H
Mexico,Liga MX,2013/2014,04/08/2013,18:00,U.N.A.M.- Pumas,U.A.N.L.- Tigres,0,2,A
Mexico,Liga MX,2013/2014,04/08/2013,23:00,Guadalajara Chivas,Atlante,1,0,H
Mexico,Liga MX,2013/2014,10/08/2013,01:30,Queretaro,Chiapas,1,1,D
Mexico,Liga MX,2013/2014,10/08/2013,03:30,Club Tijuana,U.N.A.M.- Pumas,2,0,H
Mexico,Liga MX,2013/2014,10/08/2013,23:00,Cruz Azul,Guadalajara Chivas,3,1,H
Mexico,Liga MX,2013/2014,11/08/2013,01:00,Atlante,Club America,2,4,A
Mexico,Liga MX,2013/2014,11/08/2013,01:00,U.A.N.L.- Tigres,Monterrey,3,1,H
Mexico,Liga MX,2013/2014,11/08/2013,02:06,Club Leon,Monarcas,0,0,D
Mexico,Liga MX,2013/2014,11/08/2013,03:00,Atlas,Pachuca,1,1,D
Mexico,Liga MX,2013/2014,11/08/2013,18:00,Puebla,Veracruz,0,0,D
Mexico,Liga MX,2013/2014,11/08/2013,18:00,Toluca,Santos Laguna,2,2,D
Mexico,Liga MX,2013/2014,17/08/2013,01:30,Monarcas,Atlas,2,0,H
Mexico,Liga MX,2013/2014,17/08/2013,03:30,Santos Laguna,U.A.N.L.- Tigres,3,0,H
Mexico,Liga MX,2013/2014,17/08/2013,23:00,Cruz Azul,Atlante,1,0,H
Mexico,Liga MX,2013/2014,17/08/2013,23:00,Veracruz,Queretaro,0,0,D
Mexico,Liga MX,2013/2014,18/08/2013,01:00,Monterrey,Club Tijuana,2,1,H
Mexico,Liga MX,2013/2014,18/08/2013,01:00,Pachuca,Club America,0,1,A
Mexico,Liga MX,2013/2014,18/08/2013,03:00,Chiapas,Toluca,0,4,A
Mexico,Liga MX,2013/2014,18/08/2013,18:00,U.N.A.M.- Pumas,Club Leon,1,1,D
Mexico,Liga MX,2013/2014,18/08/2013,23:00,Guadalajara Chivas,Puebla,2,4,A
Mexico,Liga MX,2013/2014,24/08/2013,01:30,Queretaro,Guadalajara Chivas,2,0,H
Mexico,Liga MX,2013/2014,24/08/2013,03:30,Club Tijuana,Santos Laguna,1,1,D
Mexico,Liga MX,2013/2014,24/08/2013,23:00,Club America,Monarcas,3,1,H
Mexico,Liga MX,2013/2014,25/08/2013,01:00,Atlante,Pachuca,1,1,D
Mexico,Liga MX,2013/2014,25/08/2013,01:00,U.A.N.L.- Tigres,Chiapas,2,2,D
Mexico,Liga MX,2013/2014,25/08/2013,02:06,Club Leon,Monterrey,3,1,H
Mexico,Liga MX,2013/2014,25/08/2013,03:00,Atlas,U.N.A.M.- Pumas,1,1,D
Mexico,Liga MX,2013/2014,25/08/2013,18:00,Puebla,Cruz Azul,1,2,A
Mexico,Liga MX,2013/2014,25/08/2013,18:00,Toluca,Veracruz,3,1,H
Mexico,Liga MX,2013/2014,31/08/2013,01:30,Monarcas,Pachuca,4,1,H
Mexico,Liga MX,2013/2014,31/08/2013,03:30,Santos Laguna,Club Leon,0,2,A
Mexico,Liga MX,2013/2014,31/08/2013,22:00,Cruz Azul,Queretaro,0,2,A
Mexico,Liga MX,2013/2014,31/08/2013,23:00,Veracruz,U.A.N.L.- Tigres,1,1,D
Mexico,Liga MX,2013/2014,01/09/2013,01:00,Monterrey,Atlas,0,0,D
Mexico,Liga MX,2013/2014,01/09/2013,03:00,Chiapas,Club Tijuana,3,1,H
Mexico,Liga MX,2013/2014,01/09/2013,18:00,Puebla,Atlante,1,0,H
Mexico,Liga MX,2013/2014,01/09/2013,23:00,Guadalajara Chivas,Toluca,0,0,D
